rcv	 4538.82		 DATA	 19540	 1000
snd	 4538.85		 ACK	 20540	 0
snd	 4557.63		 ACK	 20540	 0
snd	 4595.19		 ACK	 20540	 0
snd	 4632.76		 ACK	 20540	 0
snd	 4670.31		 ACK	 20540	 0
snd	 4707.18		 ACK	 20540	 0
snd	 4744.72		 ACK	 20540	 0
snd	 4782.27		 ACK	 20540	 0
rcv	 4794.39		 DATA	 24540	 1000
snd	 4794.40		 ACK	 20540	 0
rcv	 4825.42		 DATA	 20540	 1000
snd	 4825.44		 ACK	 21540	 0
rcv	 4862.57		 DATA	 21540	 1000
snd	 4862.59		 ACK	 25540	 0
rcv	 4875.17		 DATA	 26540	 1000
snd	 4875.18		 ACK	 25540	 0
rcv	 4875.25		 DATA	 27540	 1000
snd	 4875.26		 ACK	 25540	 0
rcv	 4875.47		 DATA	 29540	 1000
snd	 4875.49		 ACK	 25540	 0
rcv	 4906.82		 DATA	 25540	 1000
snd	 4906.85		 ACK	 28540	 0
snd	 4944.38		 ACK	 28540	 0
snd	 4981.95		 ACK	 28540	 0
rcv	 4994.70		 DATA	 32540	 1000
snd	 4994.71		 ACK	 28540	 0
rcv	 5025.00		 DATA	 28540	 1000
snd	 5025.01		 ACK	 30540	 0
rcv	 5065.47		 DATA	 30540	 1000
snd	 5065.48		 ACK	 31540	 0
snd	 5103.05		 ACK	 31540	 0
rcv	 5115.13		 DATA	 35540	 1000
snd	 5115.14		 ACK	 31540	 0
rcv	 5146.46		 DATA	 31540	 1000
snd	 5146.47		 ACK	 33540	 0
snd	 5181.69		 ACK	 33540	 0
snd	 5219.24		 ACK	 33540	 0
snd	 5256.80		 ACK	 33540	 0
snd	 5294.35		 ACK	 33540	 0
rcv	 5338.37		 DATA	 33540	 1000
snd	 5338.38		 ACK	 34540	 0
rcv	 5351.00		 DATA	 38540	 1000
snd	 5351.01		 ACK	 34540	 0
rcv	 5382.37		 DATA	 34540	 1000
snd	 5382.42		 ACK	 36540	 0
